,,,nonExecutionLatency,nonExecutionLatency,nonExecutionLatency,executionLatency,executionLatency,executionLatency,deliveryLatency,deliveryLatency,deliveryLatency,req. [#]
,,,p_90,p_99,max,p_90,p_99,max,p_90,p_99,max,
provider,label,newContainer,,,,,,,,,,
aws,phase 1,New,0.4019999999999999,0.5379400000000005,1.8060000000000003,1.936,1.99342,2.001,0.3578,0.49304000000000037,1.774,103.0
aws,phase 1,Reused,0.1180000000000001,0.16100000000000003,0.4630000000000001,1.685,1.86144,1.972,0.075,0.112,0.364,1753.0
aws,phase 2,New,0.41640000000000005,0.43044000000000016,0.43200000000000016,1.9367999999999999,1.93788,1.938,0.36819999999999997,0.38152,0.383,5.0
aws,phase 2,Reused,0.13800000000000012,0.17000000000000015,0.502,1.681,1.7529999999999997,1.878,0.087,0.118,0.394,10769.0
azure,phase 1,New,16.0316,17.16612,17.28,4.5406,6.886079999999997,7.188,14.8084,15.65696,15.74,13.0
azure,phase 1,Reused,203.7095,224.8497,228.79999999999998,5.773,9.875550000000004,11.86,202.552,224.49125,227.706,716.0
azure,phase 2,New,14.1096,35.3149000000002,74.41,7.533399999999999,10.795620000000001,11.187,11.704999999999998,33.407740000000196,71.167,67.0
azure,phase 2,Reused,120.88319999999999,195.27475999999996,229.767,162.17180000000002,210.32727999999997,229.941,120.40140000000001,194.68627999999995,229.512,4885.0
gcf,phase 1,New,21.480800000000002,22.29,22.320999999999998,1.131,1.4970600000000003,1.589,21.4576,22.266000000000002,22.295,103.0
gcf,phase 1,Reused,10.113800000000003,20.835120000000003,40.368,1.6432000000000002,2.21342,2.343,10.0957,20.818700000000003,40.352,1680.0
gcf,phase 2,New,21.502,24.862249999999946,31.755,1.1046,1.4948299999999994,1.592,21.478900000000003,24.836459999999946,31.73,80.0
gcf,phase 2,Reused,9.8005,20.5764,38.329,1.558,2.149,2.58,9.783999999999999,20.551000000000005,38.313,10716.0
ibm,phase 1,New,2.6992000000000003,3.8084400000000014,4.327,3.119,4.10936,4.282,2.6416000000000004,3.7596800000000012,4.244,177.0
ibm,phase 1,Reused,0.46399999999999997,0.6888600000000002,1.7559999999999998,2.8993,3.6357200000000005,7.518,0.403,0.6268600000000001,1.699,1708.0
ibm,phase 2,New,3.35,4.0804,4.608,3.9522,4.618360000000001,4.931,3.2374,4.02916,4.529,109.0
ibm,phase 2,Reused,0.4480000000000004,0.8093500000000005,7.525,2.9275,3.772700000000001,5.271,0.392,0.7525000000000036,7.489,10666.0
